time;V(IN_CODEC_BUF);V(IN_JACK_BUF);
0,0240682;1,05545;2,07809;
0,0240782;1,07662;2,35955;
0,0240882;1,09709;2,63168;
0,0240982;1,11678;2,89344;
0,0241082;1,13561;3,14377;
0,0241182;1,15351;3,3817;
0,0241282;1,17041;3,60628;
0,0241382;1,18624;3,81663;
0,0241482;1,20094;4,01192;
0,0241582;1,21444;4,19137;
0,0241682;1,22671;4,35428;
0,0241782;1,23768;4,50001;
0,0241882;1,24732;4,62798;
0,0241982;1,25559;4,73768;
0,0242082;1,26245;4,82869;
0,0242182;1,26788;4,90064;
0,0242282;1,27185;4,95324;
0,0242382;1,27436;4,9863;
0,0242482;1,27538;4,99969;
0,0242582;1,27492;4,99334;
0,0242682;1,27298;4,96728;
0,0242782;1,26957;4,92162;
0,0242882;1,2647;4,85654;
0,0242982;1,25838;4,77229;
0,0243082;1,25065;4,66921;
0,0243182;1,24153;4,54769;
0,0243282;1,23107;4,40824;
0,0243382;1,21929;4,25138;
0,0243482;1,20625;4,07775;
0,0243582;1,192;3,88802;
0,0243682;1,1766;3,68295;
0,0243782;1,1601;3,46334;
0,0243882;1,14258;3,23007;
0,0243982;1,12409;2,98405;
0,0244082;1,10472;2,72625;
0,0244182;1,08454;2,45769;
0,0244282;1,06363;2,17943;
0,0244382;1,04207;1,89257;
0,0244482;1,01995;1,59825;
0,0244582;0,997352;1,29761;
0,0244682;0,974369;0,991855;
0,0244782;0,95109;0,682184;
0,0244882;0,927608;0,369821;
0,0244982;0,904015;0,0559987;
0,0245082;0,880403;-0,258045;
0,0245182;0,856868;-0,57107;
0,0245282;0,8335;-0,881841;
0,0245382;0,810393;-1,18913;
0,0245482;0,787637;-1,49173;
0,0245582;0,765323;-1,78844;
0,0245682;0,743539;-2,07809;
0,0245782;0,72237;-2,35955;
0,0245882;0,7019;-2,63168;
0,0245982;0,68221;-2,89344;
0,0246082;0,663377;-3,14377;
0,0246182;0,645476;-3,3817;
0,0246282;0,628578;-3,60628;
0,0246382;0,612749;-3,81663;
0,0246482;0,598051;-4,01192;
0,0246582;0,584543;-4,19137;
0,0246682;0,572279;-4,35428;
0,0246782;0,561305;-4,50001;
0,0246882;0,551666;-4,62798;
0,0246982;0,5434;-4,73768;
0,0247082;0,536539;-4,82869;
0,0247182;0,531111;-4,90064;
0,0247282;0,527137;-4,95324;
0,0247382;0,524632;-4,9863;
0,0247482;0,523606;-4,99969;
0,0247582;0,524064;-4,99334;
0,0247682;0,526003;-4,96728;
0,0247782;0,529417;-4,92162;
0,0247882;0,534291;-4,85654;
0,0247982;0,540606;-4,77229;
0,0248082;0,548338;-4,66921;
0,0248182;0,557456;-4,54769;
0,0248282;0,567923;-4,40824;
0,0248382;0,579699;-4,25138;
0,0248482;0,592738;-4,07775;
0,0248582;0,606986;-3,88802;
0,0248682;0,62239;-3,68295;
0,0248782;0,638886;-3,46334;
0,0248882;0,656412;-3,23007;
0,0248982;0,674896;-2,98405;
0,0249082;0,694268;-2,72625;
0,0249182;0,714449;-2,45769;
0,0249282;0,73536;-2,17943;
0,0249382;0,756919;-1,89257;
0,0249482;0,779041;-1,59825;
0,0249582;0,801638;-1,29761;
0,0249682;0,824621;-0,991855;
0,0249782;0,8479;-0,682184;
0,0249882;0,871383;-0,369821;
0,0249982;0,894976;-0,0559987;
0,0250082;0,918587;0,258045;
0,0250182;0,942123;0,57107;
0,0250282;0,965491;0,881841;
0,0250382;0,988598;1,18913;
0,0250482;1,01135;1,49173;
0,0250582;1,03367;1,78844;
0,0250682;1,05545;2,07809;
0,0250782;1,07662;2,35955;
0,0250882;1,09709;2,63168;
0,0250982;1,11678;2,89344;
0,0251082;1,13561;3,14377;
0,0251182;1,15352;3,3817;
0,0251282;1,17041;3,60628;
0,0251382;1,18624;3,81663;
0,0251482;1,20094;4,01192;
0,0251582;1,21445;4,19137;
0,0251682;1,22671;4,35428;
0,0251782;1,23769;4,50001;
0,0251882;1,24733;4,62798;
0,0251982;1,25559;4,73768;
0,0252082;1,26245;4,82869;
0,0252182;1,26788;4,90064;
0,0252282;1,27186;4,95324;
0,0252382;1,27436;4,9863;
